uid,name,num_leds,length,reversed,offset,sub_component,num_adressable_leds,bus,status,points
122,basket/horizontal_bottom_right,29,0.48,FALSE,0,basket,29,segment_1,done,"[[0.9122914570943412, 0.06543852692168785, -1.7383318197961018e-06], [0.9124346251532691, 0.06543819042914228, 0.009997235248261271], [0.9125565254333504, 0.06543790392294913, 0.01999648987095354], [0.9126510673252431, 0.06543768171806558, 0.029996038823168904], [0.9127079655349813, 0.06543754798835258, 0.039995868509502513], [0.9127079039878232, 0.06543754813300887, 0.049995847084626045], [0.9126099668075365, 0.06543777831794916, 0.05999529542785602], [0.9123148212076143, 0.06543847200825248, 0.06999060011526971], [0.91156126135105, 0.06544024312449342, 0.07996021271448549], [0.9098021990178694, 0.06544437750590985, 0.08979617775888603], [0.9062711887316443, 0.06545267655423419, 0.09912748551417896], [0.9005270821169279, 0.06546617711484194, 0.10728269476345137], [0.8934735383765307, 0.06548275528811652, 0.1143670019711773], [0.8860563052503824, 0.06550018825238373, 0.12106098246026026], [0.8769307933690409, 0.06552163623977221, 0.1250132797574431], [0.867121968471309, 0.0655446902399684, 0.12693406550612024], [0.8574092220370388, 0.06556751842382687, 0.12810342741338082], [0.8474286978293962, 0.06559097597449579, 0.12757443867076568], [0.8374306492784922, 0.06561447471319862, 0.12738115629061803], [0.8274313206401247, 0.06563797646053268, 0.12726888655456695], [0.8174315772228273, 0.06566147918273517, 0.12720203227054544], [0.8074316728297716, 0.06568498228328419, 0.12716593540278598], [0.7974317108313427, 0.06570848551922501, 0.12715274904395168], [0.787431740739127, 0.06573198877418891, 0.12715762980155346], [0.7774317884494881, 0.06575549198731083, 0.12717729413282125], [0.7674318680110888, 0.06577899512557175, 0.12720935649422166], [0.7574319868680981, 0.06580249817147539, 0.12725198016888778], [0.7474321483767877, 0.0658260011171334, 0.12730367044491236], [0.7374323530323058, 0.06584950396138203, 0.12736313800672291], [0.7274325989893741, 0.06587300670855828, 0.12742919625819138], [0.7174328821326952, 0.06589650936833445, 0.12750066992758338], [0.7074331957713166, 0.06592001195643654, 0.12757629593643102], [0.6974335299366262, 0.06594351449629408, 0.12765459371801766], [0.6874338702026308, 0.06596701702181297, 0.12773366844434098], [0.6774341959277521, 0.06599051958150776, 0.1278108757160063], [0.6674344781216726, 0.06601402224351535, 0.12788218643161423], [0.6574346790192271, 0.06603752509659644, 0.12794083720627863], [0.6474347669462591, 0.06606102821519583, 0.12797402633164373], [0.637434843590959, 0.06608453136031242, 0.12795300481646377], [0.6274364112588724, 0.06610803100102867, 0.12779110248933875], [0.6174783551721194, 0.06613143574414228, 0.12698380226884684], [0.6082757412859077, 0.0661530649468806, 0.12316666815210796], [0.5993317102205981, 0.0661740863940044, 0.11869667881193255], [0.5910682791144158, 0.06619350820490726, 0.11310055153639703], [0.584509058641802, 0.06620892455412739, 0.10558810032323156], [0.5793342173177084, 0.0662210871520068, 0.09703702230807167], [0.5752238521520671, 0.06623074787694817, 0.08793101513229694], [0.5728940762952205, 0.06623622362492215, 0.07822713451385396], [0.572576195529396, 0.06623697075042537, 0.07238504922722604]]"
1221,basket/horizontal_bottom_left,29,0.48,FALSE,0,basket,29,segment_1,done,"[[0.9122914570943412, 0.06543852692168785, 1.7383318197961018e-06], [0.9124346251532691, 0.06543819042914228, -0.009997235248261271], [0.9125565254333504, 0.06543790392294913, -0.01999648987095354], [0.9126510673252431, 0.06543768171806558, -0.029996038823168904], [0.9127079655349813, 0.06543754798835258, -0.039995868509502513], [0.9127079039878232, 0.06543754813300887, -0.049995847084626045], [0.9126099668075365, 0.06543777831794916, -0.05999529542785602], [0.9123148212076143, 0.06543847200825248, -0.06999060011526971], [0.91156126135105, 0.06544024312449342, -0.07996021271448549], [0.9098021990178694, 0.06544437750590985, -0.08979617775888603], [0.9062711887316443, 0.06545267655423419, -0.09912748551417896], [0.9005270821169279, 0.06546617711484194, -0.10728269476345137], [0.8934735383765307, 0.06548275528811652, -0.1143670019711773], [0.8860563052503824, 0.06550018825238373, -0.12106098246026026], [0.8769307933690409, 0.06552163623977221, -0.1250132797574431], [0.867121968471309, 0.0655446902399684, -0.12693406550612024], [0.8574092220370388, 0.06556751842382687, -0.12810342741338082], [0.8474286978293962, 0.06559097597449579, -0.12757443867076568], [0.8374306492784922, 0.06561447471319862, -0.12738115629061803], [0.8274313206401247, 0.06563797646053268, -0.12726888655456695], [0.8174315772228273, 0.06566147918273517, -0.12720203227054544], [0.8074316728297716, 0.06568498228328419, -0.12716593540278598], [0.7974317108313427, 0.06570848551922501, -0.12715274904395168], [0.787431740739127, 0.06573198877418891, -0.12715762980155346], [0.7774317884494881, 0.06575549198731083, -0.12717729413282125], [0.7674318680110888, 0.06577899512557175, -0.12720935649422166], [0.7574319868680981, 0.06580249817147539, -0.12725198016888778], [0.7474321483767877, 0.0658260011171334, -0.12730367044491236], [0.7374323530323058, 0.06584950396138203, -0.12736313800672291], [0.7274325989893741, 0.06587300670855828, -0.12742919625819138], [0.7174328821326952, 0.06589650936833445, -0.12750066992758338], [0.7074331957713166, 0.06592001195643654, -0.12757629593643102], [0.6974335299366262, 0.06594351449629408, -0.12765459371801766], [0.6874338702026308, 0.06596701702181297, -0.12773366844434098], [0.6774341959277521, 0.06599051958150776, -0.1278108757160063], [0.6674344781216726, 0.06601402224351535, -0.12788218643161423], [0.6574346790192271, 0.06603752509659644, -0.12794083720627863], [0.6474347669462591, 0.06606102821519583, -0.12797402633164373], [0.637434843590959, 0.06608453136031242, -0.12795300481646377], [0.6274364112588724, 0.06610803100102867, -0.12779110248933875], [0.6174783551721194, 0.06613143574414228, -0.12698380226884684], [0.6082757412859077, 0.0661530649468806, -0.12316666815210796], [0.5993317102205981, 0.0661740863940044, -0.11869667881193255], [0.5910682791144158, 0.06619350820490726, -0.11310055153639703], [0.584509058641802, 0.06620892455412739, -0.10558810032323156], [0.5793342173177084, 0.0662210871520068, -0.09703702230807167], [0.5752238521520671, 0.06623074787694817, -0.08793101513229694], [0.5728940762952205, 0.06623622362492215, -0.07822713451385396], [0.572576195529396, 0.06623697075042537, -0.07238504922722604]]"
1222,basket/horizontal_top_right,33,0.54,FALSE,0,basket,33,segment_1,done,"[[0.9125481597037816, 0.1746582252538548, -1.7383318198493924e-06], [0.9126924831374442, 0.17465788604579444, 0.009997218607019225], [0.9128153172613981, 0.1746575973447576, 0.019996461752102578], [0.9129105118128876, 0.17465737360590702, 0.029996004428661543], [0.9129676998780986, 0.17465723919493725, 0.039995832306098704], [0.9129674532454957, 0.1746572397746059, 0.04999581055238823], [0.9128687104526955, 0.1746574718530035, 0.05999525020976052], [0.9125720402839577, 0.17465816912655047, 0.06999050820634213], [0.9118169087321556, 0.17465994393679785, 0.0799600077875097], [0.9100588677750827, 0.17466407591764083, 0.08979619514591075], [0.9065294784753445, 0.17467237115610787, 0.09912803946595762], [0.9007833075982896, 0.17468587656841855, 0.10728170540052692], [0.8937288253220708, 0.17470245694756442, 0.11436512614866123], [0.8863157030245779, 0.17471988025001728, 0.12106364349206902], [0.8771893941325045, 0.17474133011064605, 0.1250136628623784], [0.8673801652298218, 0.17476438506038822, 0.1269325469451951], [0.857676597912906, 0.1747871916702686, 0.12810103886322088], [0.8476970190486522, 0.17481064699906615, 0.12755871313331132], [0.8376991233202636, 0.17483414537858535, 0.12735777574932394], [0.8276998670131188, 0.174857646955917, 0.1272392829744271], [0.8177001605094557, 0.17488114959136009, 0.12716715323895525], [0.8077002736336193, 0.1749046526507378, 0.12712652909696837], [0.7977003176182496, 0.17492815587261654, 0.12710945639463594], [0.7877003465378946, 0.17495165912990282, 0.12711103640891], [0.7777003892931702, 0.1749751623546708, 0.12712795765181048], [0.7677004621029553, 0.17499866550880083, 0.12715782231683342], [0.75770057409737, 0.1750221685708338, 0.1271987931748268], [0.7477007300319636, 0.17504567152959283, 0.12724938556036236], [0.7377009316284027, 0.1750691743810313, 0.12730833029286662], [0.7277011781644623, 0.17509267712684667, 0.12737447114949116], [0.7177014665789554, 0.17511617977423394, 0.12744667446094252], [0.7077017911699991, 0.17513968233659413, 0.12752373208886447], [0.6977021428645707, 0.17516318483525203, 0.12760423559334885], [0.6877025079250234, 0.17518668730249579, 0.1276863859331438], [0.677702865915941, 0.17521018978635522, 0.127767668123517], [0.6677031868577908, 0.17523369235729228, 0.12784423094236327], [0.6577034289543855, 0.1752571951135419, 0.12790956330853198], [0.6477035480857964, 0.1752806981588006, 0.12795124577782496], [0.6377036053169686, 0.17530420134954547, 0.12794114615906893], [0.6277049442732388, 0.17532770152781016, 0.12779356206174358], [0.617745711899663, 0.17535110903558893, 0.12700205060140507], [0.6085539838556718, 0.17537271265297824, 0.1231620714095577], [0.5996091777531248, 0.17539373592169724, 0.11869310007466549], [0.5913240842766446, 0.17541320864637364, 0.11312946830996333], [0.5847761058452334, 0.1754285985730586, 0.10560872733557866], [0.5796095426403469, 0.17544074171460522, 0.09705216761859227], [0.5754948618128237, 0.17545041258278712, 0.0879491626261105], [0.5732886033094655, 0.17545559802390762, 0.07821652499524535], [0.5726582830788822, 0.17545707948604722, 0.0682399494679368], [0.5725144741129635, 0.17545741748493732, 0.058241143719137065], [0.5724595743018368, 0.17545754651774903, 0.04824129631704612], [0.5724011325193458, 0.1754576838753713, 0.03824146850693749], [0.5723210887531154, 0.1754578720048386, 0.028241791055096124], [0.5722194746913211, 0.17545811083167312, 0.01824230898464301], [0.5721518026042577, 0.17545826988358038, 0.012417023822740215]]"
1223,basket/horizontal_top_left,33,0.54,FALSE,0,basket,33,segment_1,done,"[[0.9125481597037816, 0.1746582252538548, 1.7383318198493924e-06], [0.9126924831374442, 0.17465788604579444, -0.009997218607019225], [0.9128153172613981, 0.1746575973447576, -0.019996461752102578], [0.9129105118128876, 0.17465737360590702, -0.029996004428661543], [0.9129676998780986, 0.17465723919493725, -0.039995832306098704], [0.9129674532454957, 0.1746572397746059, -0.04999581055238823], [0.9128687104526955, 0.1746574718530035, -0.05999525020976052], [0.9125720402839577, 0.17465816912655047, -0.06999050820634213], [0.9118169087321556, 0.17465994393679785, -0.0799600077875097], [0.9100588677750827, 0.17466407591764083, -0.08979619514591075], [0.9065294784753445, 0.17467237115610787, -0.09912803946595762], [0.9007833075982896, 0.17468587656841855, -0.10728170540052692], [0.8937288253220708, 0.17470245694756442, -0.11436512614866123], [0.8863157030245779, 0.17471988025001728, -0.12106364349206902], [0.8771893941325045, 0.17474133011064605, -0.1250136628623784], [0.8673801652298218, 0.17476438506038822, -0.1269325469451951], [0.857676597912906, 0.1747871916702686, -0.12810103886322088], [0.8476970190486522, 0.17481064699906615, -0.12755871313331132], [0.8376991233202636, 0.17483414537858535, -0.12735777574932394], [0.8276998670131188, 0.174857646955917, -0.1272392829744271], [0.8177001605094557, 0.17488114959136009, -0.12716715323895525], [0.8077002736336193, 0.1749046526507378, -0.12712652909696837], [0.7977003176182496, 0.17492815587261654, -0.12710945639463594], [0.7877003465378946, 0.17495165912990282, -0.12711103640891], [0.7777003892931702, 0.1749751623546708, -0.12712795765181048], [0.7677004621029553, 0.17499866550880083, -0.12715782231683342], [0.75770057409737, 0.1750221685708338, -0.1271987931748268], [0.7477007300319636, 0.17504567152959283, -0.12724938556036236], [0.7377009316284027, 0.1750691743810313, -0.12730833029286662], [0.7277011781644623, 0.17509267712684667, -0.12737447114949116], [0.7177014665789554, 0.17511617977423394, -0.12744667446094252], [0.7077017911699991, 0.17513968233659413, -0.12752373208886447], [0.6977021428645707, 0.17516318483525203, -0.12760423559334885], [0.6877025079250234, 0.17518668730249579, -0.1276863859331438], [0.677702865915941, 0.17521018978635522, -0.127767668123517], [0.6677031868577908, 0.17523369235729228, -0.12784423094236327], [0.6577034289543855, 0.1752571951135419, -0.12790956330853198], [0.6477035480857964, 0.1752806981588006, -0.12795124577782496], [0.6377036053169686, 0.17530420134954547, -0.12794114615906893], [0.6277049442732388, 0.17532770152781016, -0.12779356206174358], [0.617745711899663, 0.17535110903558893, -0.12700205060140507], [0.6085539838556718, 0.17537271265297824, -0.1231620714095577], [0.5996091777531248, 0.17539373592169724, -0.11869310007466549], [0.5913240842766446, 0.17541320864637364, -0.11312946830996333], [0.5847761058452334, 0.1754285985730586, -0.10560872733557866], [0.5796095426403469, 0.17544074171460522, -0.09705216761859227], [0.5754948618128237, 0.17545041258278712, -0.0879491626261105], [0.5732886033094655, 0.17545559802390762, -0.07821652499524535], [0.5726582830788822, 0.17545707948604722, -0.0682399494679368], [0.5725144741129635, 0.17545741748493732, -0.058241143719137065], [0.5724595743018368, 0.17545754651774903, -0.04824129631704612], [0.5724011325193458, 0.1754576838753713, -0.03824146850693749], [0.5723210887531154, 0.1754578720048386, -0.028241791055096124], [0.5722194746913211, 0.17545811083167312, -0.01824230898464301], [0.5721518026042577, 0.17545826988358038, -0.012417023822740215]]"
1224,handlebar/vertical_right,23,0.37,FALSE,0,handlebar,23,segment_1,done,"[[0.2936420999400706, 0.5850650888510447, 0.18581239937603317], [0.29971199412914784, 0.5842630167932612, 0.1779086635917241], [0.30583034569169976, 0.5826568431874238, 0.17016823077503163], [0.311949528230142, 0.5800323282073947, 0.1627152369336499], [0.3179666672081354, 0.5761391918127196, 0.15575528910704106], [0.32370082180105597, 0.5707830156988564, 0.14957827308742755], [0.3289354213556058, 0.5639961721468107, 0.14445396835503302], [0.33356125302542844, 0.5561139034348457, 0.14041703482149112], [0.3376716903546901, 0.5475898629109978, 0.13719502146605764], [0.34146678295981486, 0.5387656142164893, 0.13441715092018158], [0.3451224476343976, 0.5298322425230385, 0.13180374311308024], [0.34874662077786156, 0.5208819172064392, 0.1292043254660827], [0.3523907019370429, 0.511951614691785, 0.1265642472154425], [0.35607456019439726, 0.5030514177742599, 0.1238781169747781], [0.3598046544795991, 0.49418080415774507, 0.12115813498800852], [0.3635823933423515, 0.485335771954332, 0.11842064453355093], [0.36740699998608795, 0.4765111048348168, 0.11568250158247928], [0.3712762640139613, 0.4677008067067863, 0.11296088010710832], [0.3751867482703872, 0.4588981876853012, 0.11027355342019081], [0.3791339096551178, 0.45009605577116546, 0.10763879060324788], [0.38311218327352414, 0.44128708650226195, 0.10507465337439756], [0.3871148536132719, 0.43246423430326486, 0.1025977393607461], [0.3911336075318006, 0.4236212566585376, 0.10022068059823513], [0.395157588145121, 0.41475355121286256, 0.09794680890572689], [0.3991718402838284, 0.4058600222578545, 0.09575809005934817], [0.40315480658480646, 0.39694808018567573, 0.09358716952641472], [0.4070735721676377, 0.3880498252217775, 0.09125161680292461], [0.41086944111364315, 0.37927847480087884, 0.08832302412781828], [0.4144102207828869, 0.3709730046432776, 0.08406054963842167], [0.41744639282491164, 0.363796372940936, 0.07783896259738644], [0.4197730203962658, 0.35830517067535916, 0.06984173516904146], [0.4214293517234003, 0.3544437481896774, 0.060780993854082], [0.4225825634740461, 0.3518211889625515, 0.05120614924897042], [0.42337941502673787, 0.35008199783867866, 0.04139367566781641], [0.4239188204070558, 0.34898291145589555, 0.031470397275305276], [0.4242650671507967, 0.3483646930887259, 0.021496394549675623], [0.4244609954569073, 0.34812086109809715, 0.011501825064471177], [0.4245360236754743, 0.348176457349893, 0.001569424472387716]]"
1225,handlebar/vertical_left,23,0.37,FALSE,0,handlebar,23,segment_1,done,"[[0.2936420999400706, 0.5850650888510447, -0.18581239937603317], [0.29971199412914784, 0.5842630167932612, -0.1779086635917241], [0.30583034569169976, 0.5826568431874238, -0.17016823077503163], [0.311949528230142, 0.5800323282073947, -0.1627152369336499], [0.3179666672081354, 0.5761391918127196, -0.15575528910704106], [0.32370082180105597, 0.5707830156988564, -0.14957827308742755], [0.3289354213556058, 0.5639961721468107, -0.14445396835503302], [0.33356125302542844, 0.5561139034348457, -0.14041703482149112], [0.3376716903546901, 0.5475898629109978, -0.13719502146605764], [0.34146678295981486, 0.5387656142164893, -0.13441715092018158], [0.3451224476343976, 0.5298322425230385, -0.13180374311308024], [0.34874662077786156, 0.5208819172064392, -0.1292043254660827], [0.3523907019370429, 0.511951614691785, -0.1265642472154425], [0.35607456019439726, 0.5030514177742599, -0.1238781169747781], [0.3598046544795991, 0.49418080415774507, -0.12115813498800852], [0.3635823933423515, 0.485335771954332, -0.11842064453355093], [0.36740699998608795, 0.4765111048348168, -0.11568250158247928], [0.3712762640139613, 0.4677008067067863, -0.11296088010710832], [0.3751867482703872, 0.4588981876853012, -0.11027355342019081], [0.3791339096551178, 0.45009605577116546, -0.10763879060324788], [0.38311218327352414, 0.44128708650226195, -0.10507465337439756], [0.3871148536132719, 0.43246423430326486, -0.1025977393607461], [0.3911336075318006, 0.4236212566585376, -0.10022068059823513], [0.395157588145121, 0.41475355121286256, -0.09794680890572689], [0.3991718402838284, 0.4058600222578545, -0.09575809005934817], [0.40315480658480646, 0.39694808018567573, -0.09358716952641472], [0.4070735721676377, 0.3880498252217775, -0.09125161680292461], [0.41086944111364315, 0.37927847480087884, -0.08832302412781828], [0.4144102207828869, 0.3709730046432776, -0.08406054963842167], [0.41744639282491164, 0.363796372940936, -0.07783896259738644], [0.4197730203962658, 0.35830517067535916, -0.06984173516904146], [0.4214293517234003, 0.3544437481896774, -0.060780993854082], [0.4225825634740461, 0.3518211889625515, -0.05120614924897042], [0.42337941502673787, 0.35008199783867866, -0.04139367566781641], [0.4239188204070558, 0.34898291145589555, -0.031470397275305276], [0.4242650671507967, 0.3483646930887259, -0.021496394549675623], [0.4244609954569073, 0.34812086109809715, -0.011501825064471177], [0.4245360236754743, 0.348176457349893, -0.001569424472387716]]"
123,back_frame/horizontal_2_right,24,0.3987725106579319,TRUE,0,,24,bus,done,"[[-0.3915464504763112, -0.3204110497613798, 0.10972261718346911], [-0.38162409942094255, -0.320625951722065, 0.11072091479313352], [-0.37162732313863134, -0.3207861309505652, 0.11058920032736383], [-0.3616396800772166, -0.3209293247094769, 0.11011759335499756], [-0.35166048757615814, -0.3210645501591898, 0.10948793701284255], [-0.34168602640583035, -0.32119611877942084, 0.1087860356727846], [-0.3317128066630046, -0.3213267907015232, 0.10806644635646936], [-0.32173792558827574, -0.32145866612264223, 0.10737059850216485], [-0.3117590937157329, -0.32159358283940315, 0.1067348297034839], [-0.3017746886861907, -0.32173336288697607, 0.10619538392367296], [-0.29178400886760675, -0.3218799846539529, 0.10579197220730957], [-0.28178788324908693, -0.32203562360483645, 0.10556880030015642], [-0.2717894866431539, -0.3222021320938799, 0.10556433962483552], [-0.2617924839363726, -0.3223772202058046, 0.10573358660298167], [-0.25179953179675957, -0.3225346875381333, 0.10554840161447458], [-0.24200688421097738, -0.32260322455360324, 0.10363499531350864], [-0.23274441275266755, -0.3225720760251448, 0.09988727141016533], [-0.2238541573523437, -0.32249373442647516, 0.09531196223791509], [-0.21511657821245087, -0.32239862611957015, 0.09044951030303335], [-0.20640695011445215, -0.32230057319563843, 0.08553701258232983], [-0.19764421282257197, -0.3222081377721933, 0.08072006003184001], [-0.18875623256498839, -0.32212946927119523, 0.0761389161684603], [-0.1796571209460157, -0.3220759916715241, 0.07199533247927786], [-0.1702338705770324, -0.3220682070792141, 0.06866523320930704], [-0.16042724598373745, -0.3221382404822991, 0.06677733550190917], [-0.1504542212627918, -0.3222692915938021, 0.06606546838067867], [-0.1405624672825115, -0.32236312345183216, 0.0646294410806561], [-0.13074304641130038, -0.3224332501209011, 0.06273911793414014], [-0.1208809335854524, -0.3225160454548703, 0.061090223493061424], [-0.11095855441449447, -0.3226204412312585, 0.05985718922265315], [-0.10099464476849826, -0.3227453662248695, 0.05902469370028336], [-0.09100789945188648, -0.3228878350029605, 0.058538750317036176], [-0.08101131335197348, -0.32304492675297125, 0.05834475803791765], [-0.07101308645911082, -0.3232141812163378, 0.05839580076170762], [-0.06101816714195129, -0.32339361227211716, 0.05865344123732937], [-0.05102943097287348, -0.3235816314077884, 0.059086572722791324], [-0.04104845905744653, -0.32377696569340825, 0.05967002480529784], [-0.031076032753441743, -0.32397858946124897, 0.060383350465357394], [-0.02111244528523544, -0.3241856707202521, 0.06120984901043409], [-0.011157698209319711, -0.324397530094204, 0.062135803113600827], [-0.0024320367555375967, -0.32458687521559293, 0.06302100010338822]]"
31,back_frame/vertical_2_right,27,0.43716648626225063,TRUE,0,,27,bus,done,"[[-0.27869370016058886, 0.11636952071376613, 0.10745876541926823], [-0.2813636609558994, 0.10673255575157714, 0.10747345109414845], [-0.28403362175120983, 0.09709559078938813, 0.10748813676902864], [-0.2867035825465203, 0.08745862582719914, 0.10750282244390887], [-0.28937354334183074, 0.07782166086501015, 0.10751750811878909], [-0.2920435041371412, 0.06818469590282114, 0.10753219379366931], [-0.29471346493245165, 0.05854773094063215, 0.1075468794685495], [-0.2973834257277621, 0.048910765978443155, 0.10756156514342972], [-0.30005338652307256, 0.03927380101625414, 0.10757625081830995], [-0.3027233473183831, 0.029636836054065138, 0.10759093649319014], [-0.30539330811369353, 0.019999871091876145, 0.10760562216807036], [-0.308063268909004, 0.01036290612968715, 0.10762030784295058], [-0.31073322970431444, 0.0007259411674981564, 0.1076349935178308], [-0.3134031904996249, -0.008911023794690838, 0.10764967919271101], [-0.31607315129493535, -0.01854798875687983, 0.10766436486759122], [-0.3187431120902458, -0.028184953719068862, 0.10767905054247144], [-0.3214130728855563, -0.03782191868125786, 0.10769373621735166], [-0.32408303368086677, -0.04745888364344685, 0.10770842189223187], [-0.3267529944761772, -0.05709584860563586, 0.10772310756711208], [-0.32942295527148774, -0.06673281356782484, 0.1077377932419923], [-0.33209291606679814, -0.07636977853001385, 0.10775247891687251], [-0.3347628768621086, -0.08600674349220283, 0.10776716459175273], [-0.33743283765741905, -0.09564370845439184, 0.10778185026663295], [-0.34010279845272956, -0.10528067341658082, 0.10779653594151316], [-0.34277275924804, -0.11491763837876982, 0.10781122161639337], [-0.34544272004335047, -0.12455460334095884, 0.10782590729127359], [-0.348112680838661, -0.13419156830314782, 0.10784059296615381], [-0.35078264163397144, -0.14382853326533682, 0.107855278641034], [-0.3534526024292819, -0.1534654982275258, 0.10786996431591422], [-0.3561225632245923, -0.16310246318971486, 0.10788464999079445], [-0.35879252401990286, -0.17273942815190388, 0.10789933566567467], [-0.36146248481521326, -0.18237639311409282, 0.10791402134055486], [-0.3641324456105237, -0.19201335807628184, 0.10792870701543508], [-0.3668024064058342, -0.20165032303847086, 0.1079433926903153], [-0.3694723672011447, -0.21128728800065985, 0.1079580783651955], [-0.37214232799645514, -0.22092425296284887, 0.10797276404007572], [-0.37481228879176565, -0.2305612179250379, 0.10798744971495594], [-0.3774822495870761, -0.24019818288722683, 0.10800213538983616], [-0.3801522103823865, -0.24983514784941582, 0.10801682106471637], [-0.38282217117769696, -0.25947211281160487, 0.10803150673959658], [-0.38549213197300747, -0.26910907777379384, 0.1080461924144768], [-0.3881620927683179, -0.2787460427359828, 0.10806087808935701], [-0.3908320535636284, -0.2883830076981718, 0.10807556376423723], [-0.3935020143589389, -0.29801997266036084, 0.10809024943911744], [-0.3954154380949728, -0.30492629036149266, 0.10810077390784553]]"
32,back_frame/horizontal_1_right,13,0.20932535680959538,TRUE,0,,13,bus,done,"[[-0.5684289130639083, -0.13677228641689682, 0.10778252613350273], [-0.5584290261445292, -0.1368197542345521, 0.10778542542961991], [-0.5484291392251501, -0.1368672220522074, 0.10778832472573711], [-0.538429252305771, -0.13691468986986266, 0.10779122402185431], [-0.5284293653863918, -0.13696215768751793, 0.10779412331797149], [-0.5184294784670128, -0.1370096255051732, 0.10779702261408869], [-0.5084295915476337, -0.1370570933228285, 0.10779992191020588], [-0.49842970462825464, -0.13710456114048378, 0.10780282120632308], [-0.4884298177088755, -0.13715202895813905, 0.10780572050244026], [-0.4784299307894964, -0.13719949677579435, 0.10780861979855746], [-0.46843004387011733, -0.13724696459344965, 0.10781151909467467], [-0.45843015695073824, -0.13729443241110492, 0.10781441839079184], [-0.44843027003135916, -0.1373419002287602, 0.10781731768690904], [-0.43843038311198007, -0.13738936804641547, 0.10782021698302623], [-0.42843049619260093, -0.13743683586407077, 0.10782311627914343], [-0.41843060927322184, -0.13748430368172604, 0.10782601557526063], [-0.40843072235384276, -0.1375317714993813, 0.10782891487137782], [-0.39843083543446367, -0.1375792393170366, 0.107831814167495], [-0.38843094851508453, -0.13762670713469188, 0.10783471346361219], [-0.37843106159570555, -0.13767417495234718, 0.10783761275972939], [-0.36843117467632636, -0.13772164277000246, 0.10784051205584659], [-0.3591059233184448, -0.13776590820366327, 0.10784321575292553]]"
33,back_frame/vertical_3_right,3,0.049260177763811155,TRUE,0,,3,bus,done,"[[-0.5403584649180434, -0.22253017694585986, 0.10792784479227822], [-0.5367081634017661, -0.23184012026260375, 0.10794379092908025], [-0.5330578618854888, -0.2411500635793477, 0.10795973706588229], [-0.5294075603692115, -0.2504600068960916, 0.10797568320268429], [-0.5257572588529342, -0.25976995021283555, 0.1079916293394863], [-0.5223770147597105, -0.268391123221241, 0.10800639574562959]]"
