uid,name,num_leds,length,reversed,offset,sub_component,num_adressable_leds,bus,status,points
300,face_left,71,1.17,FALSE,0,face_left,71,bus,done,"[[-0.5038994707097824, 0.4039186654288264, -0.30247333785686603], [-0.49919584591261207, 0.39051423922659445, -0.3153473789860439], [-0.3300822963129062, 0.40004274394081824, -0.6049003742072029], [-0.3355445325204427, 0.4045975985717743, -0.5938332160435223], [-0.33387863788153405, 0.37883527491807384, -0.6058038156899513], [-0.339405864387126, 0.38499230810264523, -0.5940590764142101], [-0.34615070143903026, 0.3614720990313082, -0.5906711708539003], [-0.33720902001423747, 0.35991635360948027, -0.6067072571727001], [-0.3441488279603097, 0.3412026801989888, -0.6012866082762053], [-0.3523175861084067, 0.3420714059479162, -0.586831544552215], [-0.3631025366831447, 0.3416190306064801, -0.5683109941558545], [-0.3705585912304901, 0.34022405148806295, -0.5558886737680507], [-0.3633213606878659, 0.36231988500762, -0.5606317415524845], [-0.3538498243680255, 0.3691306383575391, -0.5746350845350995], [-0.35977911485041886, 0.37907707488555464, -0.5608576019231727], [-0.35064832799250184, 0.3835737871621514, -0.5750868052764733], [-0.34664856912441805, 0.40129712263914447, -0.5757643863885357], [-0.35561081914296316, 0.3957067979676326, -0.5622127641472958], [-0.3656070484693626, 0.4048923367946938, -0.5416594704147498], [-0.3748160426527351, 0.40385426470467806, -0.5260751048373229], [-0.38689164921075253, 0.4015460782426418, -0.5059735318461509], [-0.39618729712486533, 0.40264424422411266, -0.48948572478597663], [-0.39881819268421537, 0.3833180796811399, -0.4917443284928499], [-0.39065420515823, 0.3856282176802718, -0.5050700903634014], [-0.37870748435739116, 0.3834606316383271, -0.5265268255786981], [-0.37020642315266, 0.3835835448476287, -0.5412077496733745], [-0.3753066377319642, 0.36237672633724927, -0.5398525874492514], [-0.3840280090467269, 0.3630931424435122, -0.5244940822425121], [-0.381788932647401, 0.34462919852581514, -0.534883659294129], [-0.390981034020198, 0.34623593066598657, -0.5183958522339535], [-0.3913937340801534, 0.3640631911167608, -0.511394180742647], [-0.40111201456482015, 0.3618046903483372, -0.495358094423847], [-0.3984719690276266, 0.34723147269840604, -0.5050700903634009], [-0.4143989749417296, 0.346501922967909, -0.4777409855102349], [-0.4220019028957622, 0.3456664967265347, -0.4648669443810571], [-0.42269513274169485, 0.3627564012984297, -0.4576394125190625], [-0.4128468716609157, 0.361810544959623, -0.47503066106198666], [-0.4117581468717823, 0.38701201471155044, -0.4680289895706792], [-0.41287400928826856, 0.4007452525335512, -0.461253178450059], [-0.42443446408394697, 0.388798501390652, -0.44544295250194643], [-0.4283905048202834, 0.3975487015747025, -0.4355050961917031], [-0.43487608425251956, 0.4028415625969019, -0.4224051946918383], [-0.4453926272297452, 0.3973028751560991, -0.4061432480023511], [-0.4522105097186168, 0.4016040972200701, -0.39281748613179823], [-0.4586696550960571, 0.40318403497633926, -0.38107274685605735], [-0.4582173039539078, 0.3797873896266693, -0.39010716168354986], [-0.4475527927310609, 0.3770863945792178, -0.40953115356266045], [-0.43875321409084445, 0.3729113382863744, -0.4262448209935233], [-0.4347839563271107, 0.36230467646935927, -0.43686025841582743], [-0.4337800868572285, 0.3467404703735643, -0.44408779027782225], [-0.4483213366520235, 0.3470528958072739, -0.4187914287608417], [-0.4548069160842602, 0.352345756829474, -0.40569152726097585], [-0.46294556439438367, 0.354002825175623, -0.3910106031662995], [-0.4695490022342675, 0.36832371128329916, -0.37452279610612504], [-0.47897353590556024, 0.3649461047607893, -0.35939015127007307], [-0.4802579351614188, 0.37977295497770513, -0.3519367590373914], [-0.47216738433877675, 0.38236286941535824, -0.3650366605372566], [-0.4679906422260334, 0.40031499461252934, -0.3659401020200055], [-0.4747387637947378, 0.3998351743748263, -0.35442122311495206], [-0.48108959200875134, 0.3987448145417371, -0.3438057856926474], [-0.4915855663922254, 0.40035219719427334, -0.32505937492559916], [-0.4918073626075668, 0.3813300014242633, -0.33138346530484375]]"
301,face_left,44,0.72,FALSE,0,face_left,44,bus,done,"[[-0.3567460905548788, 1.251433059478653, -0.25847116037111467], [-0.3396306435611995, 1.2643361273828777, -0.28356566614756284], [-0.2872655239153879, 1.2673154183566253, -0.37321405515442585], [-0.28081630808797026, 1.2759586992662435, -0.3813363373840744], [-0.2808919462077898, 1.2619774598236635, -0.3861358677925025], [-0.2740670120137911, 1.2588563269960757, -0.3990576804305796], [-0.274520754686383, 1.273378236705433, -0.39315056608174453], [-0.26842445938723947, 1.282381964459569, -0.4005344590177887], [-0.2676249977681103, 1.2685111409674683, -0.40681076801342597], [-0.26553189190967474, 1.256108468281257, -0.41480998536080643], [-0.25842085425258154, 1.2592780746165895, -0.4260088896471404], [-0.2595024136757106, 1.2717633820428313, -0.4197325806515036], [-0.26070661317827254, 1.2864380884096565, -0.4124717525977259], [-0.252856922478589, 1.2897458919059164, -0.42490130570673385], [-0.25178456746674344, 1.275819505992918, -0.4316698742314412], [-0.24957402028106557, 1.2646915789764288, -0.4394229618142871], [-0.2537428891248857, 1.2173457657744682, -0.44889895774887734], [-0.25952107871134406, 1.204669888777319, -0.4433610380468444], [-0.26345263569132643, 1.1923395046824914, -0.44089974040149627], [-0.2685771849330389, 1.198577516989775, -0.4298239009974305], [-0.2645702030231405, 1.2098824774176045, -0.43277745817184815], [-0.2596152958204729, 1.2220045024340673, -0.43708472905120666], [-0.2654312829552602, 1.226940342306839, -0.42527050035353553], [-0.2708965655812231, 1.2140564606769828, -0.42034790506284], [-0.2751646370964589, 1.2025160688516539, -0.41702515324161993], [-0.2740340298610076, 1.2255174077731987, -0.4108719091282503], [-0.2791555963699808, 1.210832000812068, -0.40717996266022816], [-0.28200686850289325, 1.2257871549786896, -0.39696742009935837], [-0.28567288519059825, 1.214987584276667, -0.39442620432452846], [-0.29108435678414674, 1.2235384116839074, -0.3820377774222309], [-0.31325237315427157, 1.2146436816553454, -0.34677840854646264], [-0.31876712676029745, 1.223587989056903, -0.3340723296723121], [-0.3224176344885857, 1.231780275663675, -0.3248604224885529], [-0.3181267560728756, 1.2465495855027238, -0.3270839862915288], [-0.31571200263209226, 1.2602110784051093, -0.3264486823478219], [-0.31042548117408497, 1.2762674755810537, -0.3299428540382132], [-0.3172984099017377, 1.2713351655999452, -0.3197779909388931], [-0.32274914864908233, 1.2571744602354946, -0.31533086333293925], [-0.3251639020898648, 1.2435129673331096, -0.3159661672766477], [-0.3368931754752865, 1.2291407970331647, -0.3007188726276663], [-0.34121760111124905, 1.2367253940515357, -0.2905540095283461], [-0.3427735407424655, 1.2470983753377833, -0.2842009700912703], [-0.3364779573540598, 1.2555002971076572, -0.2921422693876145], [-0.33095440423266753, 1.270018628386378, -0.29658939699356734]]"
302,face_left,143,2.38,FALSE,0,face_left,143,bus,done,"[[-0.4787282547059493, 1.236844822685636, -0.05233645393939934], [-0.4732903299172195, 1.2548462740650654, -0.05540693282100761], [-0.25058273375701295, 1.4397332057495922, -0.37594669572924666], [-0.2497631566116365, 1.453132440224755, -0.37264095186814045], [-0.24948344306616835, 1.465584494510947, -0.3687341636686522], [-0.2417741535075395, 1.4659528606023435, -0.381957139113075], [-0.24215157944637636, 1.4538730673814158, -0.38556340514337273], [-0.24310331286643927, 1.4406769237395685, -0.3885686268352868], [-0.2360083939209346, 1.43887999741698, -0.4014910801105191], [-0.2347234601888657, 1.4520082998560977, -0.39908690275698705], [-0.23415695709169743, 1.4675732595201194, -0.39457907021911576], [-0.2267977255968202, 1.4653701515309014, -0.408102567832731], [-0.22750835184766413, 1.4533581995127038, -0.41110778952464466], [-0.2282245973490895, 1.440466475733391, -0.41441353338575093], [-0.23292655133777773, 1.419929469239587, -0.41351196687817676], [-0.22616727814065804, 1.4152057680718013, -0.42688520340719605], [-0.23502544296464178, 1.3942817040864222, -0.4189213659236221], [-0.23057781200779265, 1.3854479019995372, -0.4297401640145143], [-0.23674300646063964, 1.3734894275326328, -0.4232789373768984], [-0.24888478628292565, 1.3764901024287992, -0.4011905579413272], [-0.25645630031628663, 1.3767984172652026, -0.38796758249690394], [-0.26465097802755766, 1.376176512213319, -0.3739933016295021], [-0.2727767679761952, 1.3758929476253345, -0.3600190207620998], [-0.28029942581287115, 1.3760151319291056, -0.34694630640227303], [-0.30193595777169024, 1.3707303604335914, -0.3113344293530869], [-0.2984483326938835, 1.386581481334843, -0.3117852126068745], [-0.30633618928750495, 1.3895969526573202, -0.29705962631649413], [-0.3096860388400435, 1.3744225126838692, -0.2966088430627066], [-0.31460854782619624, 1.3898717796672335, -0.28263456219530425], [-0.3102957263524309, 1.4200019068047625, -0.2794790794187946], [-0.30384962190136866, 1.4158705178362385, -0.2921010105248343], [-0.29642394808023625, 1.4110111342629934, -0.30667633573061914], [-0.2901412699709731, 1.404798821609023, -0.31974905009044696], [-0.27683084362028626, 1.404555318551229, -0.3428892571181883], [-0.2685015641979502, 1.407968748817725, -0.35611223256261204], [-0.26066818305159545, 1.4042596362667652, -0.370988079937588], [-0.2538495435344526, 1.4062188084233151, -0.38210740019767103], [-0.24657678593178084, 1.4061475050215912, -0.3947293313037118], [-0.24403673177910565, 1.4199011747115882, -0.3942785480499243], [-0.25087295742581944, 1.4204121476064324, -0.38225766128226707], [-0.25867678556361456, 1.418301198293488, -0.3694854690916303], [-0.26505863282189723, 1.435104692682201, -0.3525059665323138], [-0.2643455611346749, 1.4501112607483262, -0.3484489172482301], [-0.26338820846403005, 1.464187176151288, -0.34514317338712436], [-0.27174313870289774, 1.4593695031271452, -0.3323709811964876], [-0.2718906959736791, 1.4467143580076383, -0.3365782915651684], [-0.2721584426401583, 1.4309123869089362, -0.34168716844142216], [-0.2798188760021026, 1.4303578902849077, -0.3286144540815949], [-0.28006216830479763, 1.4445020796654742, -0.3232050550361486], [-0.27961023535274465, 1.457799985111416, -0.3192982668366599], [-0.28825023808475864, 1.457973483092109, -0.30427215837708854], [-0.2887967096159777, 1.4429329944246194, -0.30862972983036374], [-0.2894496866053511, 1.4294998393480924, -0.31223599586066103], [-0.29623533899682725, 1.4379287580929696, -0.29751040957028063], [-0.29600765546224733, 1.4526817871986062, -0.2927020548632179], [-0.3042409395497675, 1.44079201948418, -0.28263456219530425], [-0.30354228017791285, 1.4561538883148868, -0.27842725182662453], [-0.31140106041450477, 1.4482775936625467, -0.26759305168176395], [-0.3237337540788346, 1.4487091640303273, -0.24608000466113394], [-0.3310874694984691, 1.447949144943346, -0.2336110196717005], [-0.33805410535798797, 1.4475668736219418, -0.22167926190101184], [-0.3445308059905946, 1.4479159470630798, -0.21033818520808092], [-0.3525969633472789, 1.445818315098599, -0.1971069290663273], [-0.34181323445792505, 1.4257540894470282, -0.222860624056526], [-0.3338169860400487, 1.427173373581504, -0.2362100164138309], [-0.32630817757627384, 1.4261986089925514, -0.24955940877113533], [-0.3241925018436374, 1.412470279842414, -0.25806521629083373], [-0.332349307628659, 1.412607365553408, -0.24388887042466895], [-0.34116544178846836, 1.412186112095877, -0.22876743483409448], [-0.3480385659433734, 1.3894836728615028, -0.22486893972089905], [-0.34093211220623837, 1.3912226398429186, -0.23656442506048525], [-0.33405804739261247, 1.3914852427531854, -0.24837804661562168], [-0.32716823363507835, 1.3921601880797445, -0.2600735319552068], [-0.3236326989780307, 1.3666459137001337, -0.27519496754578227], [-0.3326043999593641, 1.3644556221663007, -0.2604279406018616], [-0.34019138048742403, 1.3593515846262958, -0.2490868639089293], [-0.33867796855828636, 1.3724795302186805, -0.24707854824455622], [-0.346303932792593, 1.3715389197287524, -0.23420170074945737], [-0.34724117895684764, 1.356215919097708, -0.2379820596471015], [-0.3557116136577278, 1.3544776326169818, -0.2239238499964879], [-0.35351649757434495, 1.3696137829827717, -0.2223880791943204], [-0.36116962348194037, 1.3849543710388454, -0.20372255713720389], [-0.36437888950740055, 1.371202095300025, -0.20301373984389529], [-0.3711427117136708, 1.3738258893037993, -0.19037316477989943], [-0.3688975671981264, 1.386527817933827, -0.1897824837021426], [-0.36475874547863285, 1.4061855499572422, -0.19001875613324518], [-0.35882806268539225, 1.4024847402532357, -0.20159610525728056], [-0.3534833220964885, 1.4220354576605438, -0.20395882956830746], [-0.3590437207061596, 1.4262149410090985, -0.1928540253064776], [-0.3646828640353699, 1.4283327122761948, -0.18233990212240564], [-0.3715323441243567, 1.4298658160336715, -0.16993559948951187], [-0.37681294362711865, 1.4039302881965314, -0.1699355994895119], [-0.38212483636590705, 1.3915757317559172, -0.16509201465190584], [-0.3811023416225144, 1.3791781101750402, -0.17123509786057833], [-0.38974965528970323, 1.3826009411709905, -0.15505043633003995], [-0.3864030666594375, 1.39937261653071, -0.15493230011448872], [-0.38499662475779983, 1.418340027429778, -0.15067939635464], [-0.3914210880130624, 1.4166007201980166, -0.14016527317056754], [-0.39832129216541795, 1.3937652782567853, -0.1362667780573717], [-0.4032116040020132, 1.4022408511119284, -0.12480756514888905], [-0.4110505676325995, 1.3905393349112591, -0.11535666790477951], [-0.4052572074441649, 1.3838191255863543, -0.12776097053767377], [-0.40078577658516257, 1.3672563757036769, -0.14134663532608122], [-0.39544586319020303, 1.3573040985270408, -0.15410534660562886], [-0.38756542058055826, 1.3631794837167472, -0.16568269572966368], [-0.3848691611926727, 1.3479477816536762, -0.1757242740515306], [-0.377469818029209, 1.354475186332293, -0.18623839723560157], [-0.36737094289800426, 1.3544967511685624, -0.20372255713720439], [-0.3741103850314252, 1.3445105956109706, -0.1955711582641593], [-0.38156388818978904, 1.3377171855186398, -0.18505703508008836], [-0.38828623141700186, 1.3345148485114506, -0.1745429118960164], [-0.4001074679867239, 1.3297188607743897, -0.15575925362334808], [-0.40416713568309925, 1.3409341532906516, -0.14477258557707057], [-0.40838519446972477, 1.3179889567732834, -0.14555840789666272], [-0.41111382352928694, 1.3291258039641696, -0.13690483045093094], [-0.4113421079976139, 1.3556979709825416, -0.12713865019074871], [-0.4190981370376985, 1.3575670344066204, -0.11304568120770159], [-0.4203954171982847, 1.3736306199780086, -0.10513383897160536], [-0.4254129718091968, 1.3616067985497444, -0.1006834277138013], [-0.43258516907712513, 1.3624872963258416, -0.08795030661508306], [-0.4255347282800966, 1.3390140270485753, -0.10843996968932729], [-0.43357239006463166, 1.332829020803728, -0.09669949805809168], [-0.43507881633338485, 1.3451026517753717, -0.089761946639635], [-0.44196715175638246, 1.3449408476930103, -0.0778880605580449], [-0.44686549755381827, 1.3305297936111842, -0.07448599207399431], [-0.44158196429149, 1.3264036503983356, -0.08509244087721159], [-0.43643290950065805, 1.3174555494447349, -0.09716644863433446], [-0.4289958271901244, 1.3235281911917287, -0.10790631188790725], [-0.42234087409630183, 1.3289384416762824, -0.1175250825027598], [-0.4219407851137101, 1.309471405521526, -0.12508318436517865], [-0.42836437506405595, 1.3013634284057187, -0.11681651045315818], [-0.43517693144486386, 1.2980425723681, -0.1061879297091329], [-0.448800899292236, 1.2833694599439622, -0.08776505641948772], [-0.44417623825899094, 1.305413610994837, -0.08800124710268795], [-0.4513286086331217, 1.310470046777738, -0.07382980611065264], [-0.4592201462308852, 1.306538066155246, -0.061547890584222505], [-0.4621387852404052, 1.2888544863525757, -0.06272884400022574], [-0.4670894387243909, 1.2732462553796184, -0.05965836511861838], [-0.45856472658667036, 1.269572024952708, -0.07571933157625797], [-0.46687442777626875, 1.2535399652107395, -0.06698027629783618]]"
