uid,name,num_leds,length,reversed,offset,sub_component,num_adressable_leds,bus,status
50,head/right_eye,97,1.00,FALSE,0,eyes,97,eyes,done
501,head/right_eye_lid,56,1.8611856401888522,FALSE,0,eyes,56,eyes,done,"[[1.4929765795570074, 2.8593074891306025, -7.151311236519478], [1.1460961982792386, 2.9050725673410427, -7.908968201757787], [1.2112564810952926, 3.095248192678113, -7.766644954906451], [1.4272330487443106, 3.0667536883949067, -7.294908415051499], [1.4929765795570074, 2.8593074891306025, -7.151311236519478]]"
51,head/left_eye,91,1.00,FALSE,0,eyes,91,eyes,done
511,head/left_eye_lid,56,1.8611856401888522,FALSE,0,eyes,56,eyes,done,"[[-1.4929765795570074, 2.8593074891306025, -7.151311236519478], [-1.1460961982792386, 2.9050725673410427, -7.908968201757787], [-1.2112564810952926, 3.095248192678113, -7.766644954906451], [-1.4272330487443106, 3.0667536883949067, -7.294908415051499], [-1.4929765795570074, 2.8593074891306025, -7.151311236519478]]"
