uid,name,num_leds,length,reversed,offset,sub_component,num_adressable_leds,bus,status,points
120,tail/segment_1,63,2.0823519035025817,FALSE,0,tail,63,tail,done,"[[0.0582555966109015, 1.7001255280757042, 0.19122165287855203], [0.05825559661090132, 1.7463701631140316, 0.31969294335763], [0.05825559661090132, 1.7438464741235116, 0.45237038215424175], [0.05825559661090132, 1.7109062977446308, 0.6538504409472017], [0.05825559661090132, 1.6889461801587105, 0.9761111464627247], [0.05825559661090132, 1.7548265329164718, 1.2819017637888084], [0.05825559661090132, 1.9744277087756772, 1.5602422341324897], [0.05825559661090132, 2.2653992667891245, 1.6574117343923274], [0.05825559661090132, 2.570787641997729, 1.5943437466570998]]"
1201,tail/segment_2,64,2.112551478162486,TRUE,0,tail,64,tail,done,"[[0.3197111932218026, 2.0813151284947002, 0.09599480323177742], [0.2689111932218026, 1.9867433940641552, 0.26849224048385556], [0.21811119322180259, 1.9039285637213335, 0.43302900859044235], [0.1673111932218026, 1.8174276605503925, 0.6520057910699845], [0.11651119322180258, 1.795868315110415, 0.962111571501701], [0.09111119322180258, 1.8358906294107553, 1.2486651258225174], [0.09111119322180258, 2.011988812332252, 1.5032008287030618], [0.09111119322180258, 2.2880269091377907, 1.5818871304730522], [0.09111119322180258, 2.559891878425878, 1.5375079625487977]]"
1202,tail/segmen_3,72,2.377633478091453,FALSE,0,tail,72,tail,done,"[[0.13445559661090134, 2.6772130712730315, -0.08765413564630588], [0.10905559661090132, 2.2981933472554115, 0.2014800587929602], [0.08365559661090131, 2.1060423183786066, 0.39747008818944035], [0.07095559661090133, 1.9633015540701235, 0.6209102645683211], [0.05825559661090132, 1.9045307893808032, 0.9501048772115992], [0.05825559661090132, 1.9405508722511093, 1.2086428115221772], [0.05825559661090132, 2.064620046582164, 1.4351628943924828], [0.05825559661090132, 2.314663435444851, 1.5201609994803245], [0.05825559661090132, 2.5484288871469754, 1.4610952431751307]]"
121,tail/segment_4,63,2.0823519035025817,FALSE,0,tail,63,tail,done,"[[-0.0582555966109015, 1.7001255280757042, 0.19122165287855203], [-0.05825559661090132, 1.7463701631140316, 0.31969294335763], [-0.05825559661090132, 1.7438464741235116, 0.45237038215424175], [-0.05825559661090132, 1.7109062977446308, 0.6538504409472017], [-0.05825559661090132, 1.6889461801587105, 0.9761111464627247], [-0.05825559661090132, 1.7548265329164718, 1.2819017637888084], [-0.05825559661090132, 1.9744277087756772, 1.5602422341324897], [-0.05825559661090132, 2.2653992667891245, 1.6574117343923274], [-0.05825559661090132, 2.570787641997729, 1.5943437466570998]]"
1211,tail/segment_5,64,2.112551478162486,TRUE,0,tail,64,tail,done,"[[-0.3197111932218026, 2.0813151284947002, 0.09599480323177742], [-0.2689111932218026, 1.9867433940641552, 0.26849224048385556], [-0.21811119322180259, 1.9039285637213335, 0.43302900859044235], [-0.1673111932218026, 1.8174276605503925, 0.6520057910699845], [-0.11651119322180258, 1.795868315110415, 0.962111571501701], [-0.09111119322180258, 1.8358906294107553, 1.2486651258225174], [-0.09111119322180258, 2.011988812332252, 1.5032008287030618], [-0.09111119322180258, 2.2880269091377907, 1.5818871304730522], [-0.09111119322180258, 2.559891878425878, 1.5375079625487977]]"
1212,tail/segment_6,72,2.377633478091453,FALSE,0,tail,72,tail,done,"[[-0.13445559661090134, 2.6772130712730315, -0.08765413564630588], [-0.10905559661090132, 2.2981933472554115, 0.2014800587929602], [-0.08365559661090131, 2.1060423183786066, 0.39747008818944035], [-0.07095559661090133, 1.9633015540701235, 0.6209102645683211], [-0.05825559661090132, 1.9045307893808032, 0.9501048772115992], [-0.05825559661090132, 1.9405508722511093, 1.2086428115221772], [-0.05825559661090132, 2.064620046582164, 1.4351628943924828], [-0.05825559661090132, 2.314663435444851, 1.5201609994803245], [-0.05825559661090132, 2.5484288871469754, 1.4610952431751307]]"
